         686669866 function calls (612528273 primitive calls) in 379.804 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  380.495  380.495 C:\Programming\ethos_penalps\examples\toffee_production\simulation_starter.py:16(start_simulation)
        1    0.000    0.000  375.217  375.217 C:\Programming\ethos_penalps\src\ethos_penalps\enterprise.py:145(create_post_simulation_report)
     3577    0.043    0.000  330.376    0.092 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\pandas\core\frame.py:609(__init__)
        1    0.000    0.000  329.197  329.197 C:\Programming\ethos_penalps\src\ethos_penalps\post_processing\post_processed_data_handler.py:58(start_post_processing)
        1    0.000    0.000  328.765  328.765 C:\Programming\ethos_penalps\src\ethos_penalps\post_processing\load_profile_handler_post_simulation.py:213(start_post_processing)
        9    0.000    0.000  328.512   36.501 C:\Programming\ethos_penalps\src\ethos_penalps\post_processing\load_profile_entry_post_processor.py:563(resample_load_profile_meta_data)
        9    1.865    0.207  328.512   36.501 C:\Programming\ethos_penalps\src\ethos_penalps\post_processing\load_profile_entry_post_processor.py:647(resample_load_profile_to_target_frequency)
     1219    1.476    0.001  324.101    0.266 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\pandas\core\internals\construction.py:757(dataclasses_to_dicts)
  2528665    3.499    0.000  322.624    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\dataclasses.py:1217(asdict)
25281885/2528665   71.422    0.000  318.214    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\dataclasses.py:1241(_asdict_inner)
50561636/20225857   98.120    0.000  202.431    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\copy.py:128(deepcopy)
        1    0.000    0.000  164.824  164.824 C:\Programming\ethos_penalps\src\ethos_penalps\post_processing\load_profile_handler_post_simulation.py:293(resample_process_step_load_profiles)
        1    0.000    0.000  163.941  163.941 C:\Programming\ethos_penalps\src\ethos_penalps\post_processing\load_profile_handler_post_simulation.py:227(resample_stream_load_profiles)
10111087/5067066   43.805    0.000  146.000    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\copy.py:259(_reconstruct)
40426572/25299717   21.885    0.000  122.439    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\copy.py:264(<genexpr>)
        1    0.001    0.001   46.020   46.020 C:\Programming\ethos_penalps\src\ethos_penalps\post_processing\report_generator\enterprise_report_generator.py:105(generate_report)
       18    0.000    0.000   22.098    1.228 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\figure.py:2873(savefig)
  5056028   15.280    0.000   21.230    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\dataclasses.py:1187(fields)
        1    0.003    0.003   19.011   19.011 C:\Programming\ethos_penalps\src\ethos_penalps\post_processing\report_generator\carpet_plot_page.py:44(create_carpet_plot_page)
201590/65456    0.554    0.000   18.932    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\_api\deprecation.py:404(wrapper)
       18    0.000    0.000   18.500    1.028 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\backends\backend_qt5agg.py:77(print_figure)
       18    0.003    0.000   17.280    0.960 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\backend_bases.py:2119(print_figure)
 27810550    7.387    0.000   15.199    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\dataclasses.py:1205(_is_dataclass_instance)
        1    0.000    0.000   12.420   12.420 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\datapane\processors\api.py:87(save_report)
        3    0.000    0.000   12.419    4.140 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\datapane\processors\types.py:58(pipe)
        1    0.000    0.000   12.303   12.303 C:\Programming\ethos_penalps\src\ethos_penalps\post_processing\report_generator\gantt_chart_page.py:43(create_network_level_gantt_chart_page)
        1    0.000    0.000   11.858   11.858 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\datapane\processors\processors.py:92(__call__)
    333/7    0.002    0.000   11.857    1.694 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\multimethod\__init__.py:309(__call__)
    234/2    0.001    0.000   11.857    5.928 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\datapane\blocks\base.py:83(accept)
  346/257    0.001    0.000   11.857    0.046 {built-in method _functools.reduce}
     78/2    0.000    0.000   11.855    5.927 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\datapane\blocks\layout.py:68(traverse)
    232/2    0.000    0.000   11.855    5.927 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\datapane\blocks\layout.py:70(<lambda>)
        1    0.000    0.000   11.854   11.854 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\datapane\processors\processors.py:107(convert_xml)
        1    0.000    0.000   11.852   11.852 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\datapane\view\xml_visitor.py:87(visit)
     39/1    0.000    0.000   11.852   11.852 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\datapane\view\xml_visitor.py:71(_visit_subnodes)
     38/1    0.001    0.000   11.852   11.852 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\datapane\view\xml_visitor.py:79(visit)
       60    0.002    0.000   11.849    0.197 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\datapane\view\xml_visitor.py:127(visit)
       60    0.001    0.000   11.847    0.197 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\datapane\view\xml_visitor.py:147(_add_asset_to_store)
        6    0.000    0.000   11.809    1.968 C:\Programming\ethos_penalps\src\ethos_penalps\post_processing\time_series_visualizations\gantt_chart.py:259(create_gantt_chart_from_list_of_meta_data)
        6    0.002    0.000   11.455    1.909 C:\Programming\ethos_penalps\src\ethos_penalps\post_processing\time_series_visualizations\gantt_chart.py:324(create_gantt_chart)
