         686669866 function calls (612528273 primitive calls) in 379.804 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
50561636/20225857   98.120    0.000  202.431    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\copy.py:128(deepcopy)
25281885/2528665   71.422    0.000  318.214    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\dataclasses.py:1241(_asdict_inner)
10111087/5067066   43.805    0.000  146.000    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\copy.py:259(_reconstruct)
40426572/25299717   21.885    0.000  122.439    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\copy.py:264(<genexpr>)
  5056028   15.280    0.000   21.230    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\dataclasses.py:1187(fields)
 10584467    7.997    0.000    9.552    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\copy.py:243(_keep_alive)
27966069/27966048    7.840    0.000    7.849    0.000 {built-in method builtins.hasattr}
111711459    7.558    0.000    7.568    0.000 {method 'get' of 'dict' objects}
 27810550    7.387    0.000   15.199    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\dataclasses.py:1205(_is_dataclass_instance)
74427087/74414915    6.632    0.000    7.014    0.000 {built-in method builtins.isinstance}
 77161200    5.485    0.000    5.485    0.000 {built-in method builtins.id}
  5055818    5.371    0.000    5.371    0.000 {pandas._libs.tslibs.timestamps._unpickle_timestamp}
       79    5.330    0.067    5.330    0.067 {method 'encode' of 'ImagingEncoder' objects}
 27809252    5.113    0.000    5.113    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\dataclasses.py:1202(<genexpr>)
49596671/49596139    4.636    0.000    5.046    0.000 {built-in method builtins.getattr}
   201618    4.147    0.000    5.027    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\inspect.py:3050(_bind)
 39976593    3.864    0.000    3.864    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\copy.py:182(_deepcopy_atomic)
  2528665    3.499    0.000  322.624    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\dataclasses.py:1217(asdict)
  5051879    3.016    0.000    3.016    0.000 {method '__reduce_ex__' of 'object' objects}
 28165054    2.124    0.000    2.124    0.000 {method 'append' of 'list' objects}
        9    1.865    0.207  328.512   36.501 C:\Programming\ethos_penalps\src\ethos_penalps\post_processing\load_profile_entry_post_processor.py:647(resample_load_profile_to_target_frequency)
     1219    1.476    0.001  324.101    0.266 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\pandas\core\internals\construction.py:757(dataclasses_to_dicts)
        4    1.140    0.285    1.140    0.285 {built-in method _winapi.WaitForSingleObject}
     1219    1.116    0.001    2.345    0.002 {pandas._libs.lib.fast_unique_multiple_list_gen}
  2529884    1.111    0.000    1.230    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\pandas\core\internals\construction.py:945(<genexpr>)
      578    1.089    0.002    2.817    0.005 C:\Programming\ethos_penalps\src\ethos_penalps\storage.py:281(determine_net_mass_in_date_range)
  5055818    0.923    0.000    0.923    0.000 {method '__reduce_ex__' of 'pandas._libs.tslibs.timestamps._Timestamp' objects}
     6062    0.910    0.000    0.910    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
 10745882    0.790    0.000    0.790    0.000 {built-in method builtins.issubclass}
671992/443436    0.739    0.000    1.354    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\artist.py:241(stale)
201590/65456    0.554    0.000   18.932    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\_api\deprecation.py:404(wrapper)
   477490    0.538    0.000    0.538    0.000 {method '__deepcopy__' of 'numpy.generic' objects}
   323049    0.509    0.000    0.787    0.000 {built-in method builtins.any}
     1219    0.504    0.000    0.504    0.000 {pandas._libs.lib.dicts_to_array}
   126752    0.427    0.000    0.711    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\datetimerange\_core.py:364(validate_time_inversion)
      696    0.406    0.001    1.214    0.002 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\proplot\config.py:1187(category)
  5136330    0.401    0.000    0.401    0.000 {method 'values' of 'dict' objects}
     1219    0.391    0.000    0.391    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\pandas\core\internals\construction.py:952(<listcomp>)
81715/78416    0.386    0.000    2.113    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\artist.py:1038(update)
   125584    0.376    0.000    1.148    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\datetimerange\_core.py:211(__contains__)
   178096    0.369    0.000    0.369    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    66246    0.368    0.000    0.614    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\cbook\__init__.py:1726(normalize_kwargs)
   127465    0.368    0.000    0.718    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\numpy\core\fromnumeric.py:71(_wrapreduction)
        1    0.365    0.365    0.365    0.365 {built-in method nt.startfile}
     2464    0.353    0.000    0.353    0.000 {built-in method pandas._libs.tslib.array_to_datetime}
  3104968    0.330    0.000    0.330    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\inspect.py:2699(kind)
   392862    0.296    0.000    0.649    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\re.py:187(match)
   508047    0.291    0.000    0.348    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\__init__.py:604(__getitem__)
1504085/1504048    0.281    0.000    0.823    0.000 {built-in method builtins.next}
   206550    0.281    0.000    0.433    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\cbook\__init__.py:2094(_setattr_cm)
   124416    0.276    0.000    1.420    0.000 C:\Programming\ethos_penalps\src\ethos_penalps\stream.py:230(get_mass_share_in_time_period)
    11679    0.274    0.000    0.336    0.000 {pandas._libs.lib.maybe_convert_objects}
      278    0.249    0.001    0.249    0.001 {method 'acquire' of '_thread.lock' objects}
144056/1736    0.226    0.000    0.935    0.001 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\dataclasses.py:232(wrapper)
    11952    0.225    0.000    0.396    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\dates.py:313(_from_ordinalf)
       54    0.209    0.004    0.212    0.004 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\backends\backend_agg.py:85(__init__)
    20694    0.208    0.000    3.791    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\text.py:864(get_window_extent)
     1290    0.206    0.000    0.209    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
132386/118003    0.203    0.000    0.830    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\artist.py:82(_stale_axes_callback)
   395041    0.201    0.000    0.331    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\re.py:288(_compile)
    60341    0.198    0.000    0.822    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\colors.py:178(to_rgba)
    28728    0.193    0.000    0.383    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\dateutil\rrule.py:776(_iter)
    66246    0.189    0.000    0.189    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\cbook\__init__.py:1791(<dictcomp>)
    11564    0.184    0.000    0.184    0.000 {pandas._libs.lib.infer_datetimelike_array}
26356/22407    0.182    0.000    0.371    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\transforms.py:2401(get_affine)
