         686669866 function calls (612528273 primitive calls) in 379.804 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
111711459    7.558    0.000    7.568    0.000 {method 'get' of 'dict' objects}
 77161200    5.485    0.000    5.485    0.000 {built-in method builtins.id}
74427087/74414915    6.632    0.000    7.014    0.000 {built-in method builtins.isinstance}
50561636/20225857   98.120    0.000  202.431    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\copy.py:128(deepcopy)
49596671/49596139    4.636    0.000    5.046    0.000 {built-in method builtins.getattr}
40426572/25299717   21.885    0.000  122.439    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\copy.py:264(<genexpr>)
 39976593    3.864    0.000    3.864    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\copy.py:182(_deepcopy_atomic)
 28165054    2.124    0.000    2.124    0.000 {method 'append' of 'list' objects}
27966069/27966048    7.840    0.000    7.849    0.000 {built-in method builtins.hasattr}
 27810550    7.387    0.000   15.199    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\dataclasses.py:1205(_is_dataclass_instance)
 27809252    5.113    0.000    5.113    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\dataclasses.py:1202(<genexpr>)
25281885/2528665   71.422    0.000  318.214    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\dataclasses.py:1241(_asdict_inner)
 10745882    0.790    0.000    0.790    0.000 {built-in method builtins.issubclass}
 10584467    7.997    0.000    9.552    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\copy.py:243(_keep_alive)
10111087/5067066   43.805    0.000  146.000    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\copy.py:259(_reconstruct)
  5136330    0.401    0.000    0.401    0.000 {method 'values' of 'dict' objects}
  5056028   15.280    0.000   21.230    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\dataclasses.py:1187(fields)
  5055818    0.923    0.000    0.923    0.000 {method '__reduce_ex__' of 'pandas._libs.tslibs.timestamps._Timestamp' objects}
  5055818    5.371    0.000    5.371    0.000 {pandas._libs.tslibs.timestamps._unpickle_timestamp}
  5051879    3.016    0.000    3.016    0.000 {method '__reduce_ex__' of 'object' objects}
  3104968    0.330    0.000    0.330    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\inspect.py:2699(kind)
  2529884    1.111    0.000    1.230    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\pandas\core\internals\construction.py:945(<genexpr>)
  2529834    0.119    0.000    0.119    0.000 {method 'keys' of 'dict' objects}
  2528665    3.499    0.000  322.624    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\dataclasses.py:1217(asdict)
  1641633    0.172    0.000    0.172    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\inspect.py:2687(name)
1504085/1504048    0.281    0.000    0.823    0.000 {built-in method builtins.next}
   899104    0.083    0.000    0.083    0.000 {method 'items' of 'dict' objects}
   887456    0.089    0.000    0.096    0.000 {method 'pop' of 'dict' objects}
   821885    0.088    0.000    0.088    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\inspect.py:2691(default)
   772080    0.091    0.000    0.091    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\datetimerange\_core.py:257(start_datetime)
   708268    0.082    0.000    0.082    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\datetimerange\_core.py:277(end_datetime)
707651/661937    0.089    0.000    0.105    0.000 {built-in method builtins.len}
   672764    0.102    0.000    0.102    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\artist.py:822(get_animated)
671992/443436    0.739    0.000    1.354    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\artist.py:241(stale)
   615847    0.076    0.000    0.076    0.000 {method 'replace' of 'str' objects}
   604770    0.125    0.000    0.125    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\_api\deprecation.py:419(<genexpr>)
   592652    0.079    0.000    0.079    0.000 {function ColormapDatabase.__getitem__ at 0x000001C41EADCEE0}
   508047    0.291    0.000    0.348    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\__init__.py:604(__getitem__)
507708/507608    0.054    0.000    0.060    0.000 {built-in method builtins.iter}
   485864    0.045    0.000    0.045    0.000 {method 'endswith' of 'str' objects}
   477490    0.538    0.000    0.538    0.000 {method '__deepcopy__' of 'numpy.generic' objects}
   422735    0.061    0.000    0.061    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\artist.py:217(axes)
   399872    0.102    0.000    0.102    0.000 {method 'match' of 're.Pattern' objects}
