         686669866 function calls (612528273 primitive calls) in 379.804 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   395041    0.201    0.000    0.331    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\re.py:288(_compile)
   392862    0.296    0.000    0.649    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\re.py:187(match)
   349392    0.160    0.000    0.227    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\proplot\config.py:697(__iter__)
   323049    0.509    0.000    0.787    0.000 {built-in method builtins.any}
   300392    0.076    0.000    0.169    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\abc.py:117(__instancecheck__)
   300392    0.085    0.000    0.094    0.000 {built-in method _abc._abc_instancecheck}
   216456    0.021    0.000    0.052    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\__init__.py:637(__iter__)
   207106    0.071    0.000    0.090    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\pandas\core\dtypes\generic.py:40(_check)
   207106    0.123    0.000    0.214    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\pandas\core\dtypes\generic.py:45(_instancecheck)
   206550    0.281    0.000    0.433    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\cbook\__init__.py:2094(_setattr_cm)
   205145    0.022    0.000    0.022    0.000 {method 'startswith' of 'str' objects}
   202540    0.029    0.000    0.029    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\inspect.py:3006(parameters)
   201798    0.028    0.000    0.028    0.000 {method 'values' of 'mappingproxy' objects}
   201618    0.054    0.000    0.054    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\inspect.py:2779(__init__)
   201618    4.147    0.000    5.027    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\inspect.py:3050(_bind)
   201598    0.166    0.000    5.193    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\inspect.py:3181(bind)
201590/65456    0.554    0.000   18.932    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\_api\deprecation.py:404(wrapper)
   178096    0.369    0.000    0.369    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   177838    0.021    0.000    0.021    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\pyparsing\helpers.py:208(<lambda>)
   177837    0.035    0.000    0.053    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\pyparsing\helpers.py:209(<lambda>)
   171461    0.015    0.000    0.015    0.000 {method 'add' of 'set' objects}
168400/166637    0.143    0.000    0.150    0.000 {built-in method numpy.asarray}
168332/168049    0.090    0.000    0.248    0.000 {built-in method builtins.all}
   157577    0.055    0.000    0.136    0.000 {built-in method builtins.setattr}
   152840    0.085    0.000    0.085    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\transforms.py:107(__init__)
   150748    0.010    0.000    0.010    0.000 {built-in method _thread.get_ident}
   145903    0.016    0.000    0.016    0.000 {method 'lower' of 'str' objects}
144056/1736    0.226    0.000    0.935    0.001 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\dataclasses.py:232(wrapper)
   144056    0.011    0.000    0.011    0.000 {method 'discard' of 'set' objects}
   143996    0.098    0.000    0.098    0.000 {built-in method numpy.asanyarray}
   139465    0.038    0.000    0.038    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\transforms.py:1019(get_points)
   134155    0.143    0.000    0.143    0.000 {method 'copy' of 'numpy.ndarray' objects}
   133632    0.012    0.000    0.015    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\proplot\internals\rcsetup.py:409(__iter__)
132386/118003    0.203    0.000    0.830    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\artist.py:82(_stale_axes_callback)
   129937    0.152    0.000    0.159    0.000 C:\Programming\ethos_penalps\src\ethos_penalps\stream_handler.py:112(get_stream)
   127465    0.073    0.000    0.073    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\numpy\core\fromnumeric.py:72(<dictcomp>)
   127465    0.368    0.000    0.718    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\numpy\core\fromnumeric.py:71(_wrapreduction)
   127044    0.149    0.000    0.197    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\datetimerange\_core.py:338(is_set)
   126752    0.427    0.000    0.711    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\datetimerange\_core.py:364(validate_time_inversion)
   125785    0.026    0.000    0.026    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\axes\_base.py:769(<genexpr>)
   125584    0.376    0.000    1.148    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\datetimerange\_core.py:211(__contains__)
   124416    0.276    0.000    1.420    0.000 C:\Programming\ethos_penalps\src\ethos_penalps\stream.py:230(get_mass_share_in_time_period)
   124067    0.019    0.000    0.019    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\artist.py:818(get_visible)
   123880    0.092    0.000    0.102    0.000 {built-in method numpy.array}
   113043    0.149    0.000    0.164    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\contextlib.py:102(__init__)
113043/113031    0.068    0.000    0.507    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\contextlib.py:130(__enter__)
113043/113037    0.096    0.000    0.333    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\contextlib.py:139(__exit__)
   113043    0.094    0.000    0.258    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\contextlib.py:279(helper)
103753/42309    0.149    0.000    0.198    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\transforms.py:180(_invalidate_internal)
   100068    0.009    0.000    0.009    0.000 {built-in method builtins.divmod}
98999/73553    0.031    0.000    0.180    0.000 {built-in method builtins.hash}
    96495    0.065    0.000    0.132    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\__init__.py:1116(is_interactive)
    96459    0.069    0.000    0.201    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\pyplot.py:822(_auto_draw_if_interactive)
    96170    0.075    0.000    0.420    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\figure.py:50(_stale_figure_callback)
    95048    0.046    0.000    0.065    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\numpy\lib\function_base.py:348(iterable)
    93197    0.019    0.000    0.026    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\pyparsing\core.py:1973(__hash__)
    91632    0.015    0.000    0.015    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\proplot\config.py:981(<genexpr>)
    91632    0.016    0.000    0.016    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\proplot\config.py:1476(<genexpr>)
    91246    0.007    0.000    0.007    0.000 {built-in method builtins.callable}
    90703    0.114    0.000    0.166    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\transforms.py:1750(__init__)
    88632    0.078    0.000    0.115    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\backends\backend_svg.py:88(escape_attrib)
    85915    0.023    0.000    0.023    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\colors.py:297(<genexpr>)
    85621    0.025    0.000    0.025    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\transforms.py:1900(get_matrix)
    84925    0.034    0.000    0.107    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\colors.py:287(<genexpr>)
    84676    0.108    0.000    0.190    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    84631    0.009    0.000    0.009    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\codecs.py:276(reset)
    84631    0.060    0.000    0.069    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\codecs.py:327(reset)
    84277    0.074    0.000    0.074    0.000 C:\Programming\ethos_penalps\src\ethos_penalps\utilities\general_functions.py:136(check_if_date_1_is_before_date_2)
    83289    0.058    0.000    0.069    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\_api\__init__.py:100(check_in_list)
    81891    0.012    0.000    0.012    0.000 {built-in method builtins.delattr}
81715/78416    0.386    0.000    2.113    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\artist.py:1038(update)
    80242    0.023    0.000    0.023    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\proplot\internals\rcsetup.py:429(_check_key)
    79640    0.012    0.000    0.012    0.000 {built-in method builtins.abs}
    77529    0.014    0.000    0.014    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\proplot\colors.py:2956(cache)
    76679    0.073    0.000    0.093    0.000 {built-in method builtins.max}
    75688    0.071    0.000    0.085    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\cbook\__init__.py:259(process)
    74990    0.065    0.000    0.146    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\artist.py:356(pchanged)
    70660    0.050    0.000    0.160    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\colors.py:132(_is_nth_color)
    68772    0.033    0.000    0.066    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\colors.py:407(<genexpr>)
    67981    0.013    0.000    0.013    0.000 {method 'update' of 'dict' objects}
    66246    0.189    0.000    0.189    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\cbook\__init__.py:1791(<dictcomp>)
    66246    0.012    0.000    0.012    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\cbook\__init__.py:1805(<listcomp>)
    66246    0.009    0.000    0.009    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\cbook\__init__.py:1810(<listcomp>)
    66246    0.368    0.000    0.614    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\cbook\__init__.py:1726(normalize_kwargs)
66239/64284    0.139    0.000    8.273    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\artist.py:1152(set)
    64660    0.034    0.000    0.034    0.000 C:\Programming\ethos_penalps\src\ethos_penalps\data_classes.py:31(__repr__)
    63504    0.041    0.000    0.041    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    62912    0.007    0.000    0.007    0.000 {built-in method numpy.geterrobj}
    61347    0.019    0.000    0.019    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\_api\__init__.py:153(<genexpr>)
    60709    0.026    0.000    0.027    0.000 {pandas._libs.lib.is_list_like}
    60341    0.198    0.000    0.822    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\colors.py:178(to_rgba)
    60341    0.056    0.000    0.167    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\proplot\colors.py:2839(__getitem__)
    60341    0.071    0.000    0.111    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\proplot\colors.py:2848(_get_rgba)
    58848    0.008    0.000    0.058    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\pandas\core\arrays\datetimes.py:569(__iter__)
    58464    0.057    0.000    0.057    0.000 {method 'replace' of 'datetime.datetime' objects}
    58147    0.010    0.000    0.010    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\figure.py:2362(_get_dpi)
    56178    0.011    0.000    0.011    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\axis.py:360(<genexpr>)
    56045    0.068    0.000    0.094    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\proplot\config.py:794(_validate_key)
55968/30337    0.042    0.000    0.049    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\transforms.py:2369(<lambda>)
    54831    0.106    0.000    0.280    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\transforms.py:1867(__init__)
    54760    0.013    0.000    0.013    0.000 {pandas._libs.lib.is_scalar}
    54231    0.018    0.000    0.018    0.000 {built-in method builtins.round}
    54048    0.009    0.000    0.009    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\artist.py:886(get_rasterized)
    54048    0.008    0.000    0.008    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\artist.py:911(get_agg_filter)
    52800    0.033    0.000    0.046    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\backends\backend_svg.py:73(escape_cdata)
52279/52276    0.012    0.000    0.013    0.000 {built-in method __new__ of type object at 0x00007FFC5D1B9F00}
    52154    0.060    0.000    0.099    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\pandas\core\dtypes\common.py:1591(_is_dtype_type)
    51600    0.022    0.000    0.024    0.000 {built-in method builtins.format}
    51344    0.033    0.000    0.261    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\artist.py:193(convert_xunits)
    51193    0.056    0.000    0.067    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\proplot\internals\__init__.py:231(_not_none)
    49061    0.007    0.000    0.007    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\numpy\core\fromnumeric.py:2687(_max_dispatcher)
    49061    0.060    0.000    0.246    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\numpy\core\fromnumeric.py:2692(max)
    48999    0.069    0.000    0.154    0.000 {built-in method builtins.sorted}
    48901    0.025    0.000    0.093    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\artist.py:205(convert_yunits)
    48532    0.007    0.000    0.007    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\numpy\core\fromnumeric.py:2831(_min_dispatcher)
    48532    0.064    0.000    0.267    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\numpy\core\fromnumeric.py:2836(min)
    46135    0.082    0.000    0.082    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\cbook\__init__.py:861(<listcomp>)
    46135    0.048    0.000    0.129    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\cbook\__init__.py:858(clean)
    45826    0.023    0.000    0.023    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\cbook\__init__.py:911(<listcomp>)
    45826    0.099    0.000    0.256    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\cbook\__init__.py:907(get_siblings)
    45816    0.170    0.000    0.382    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\proplot\config.py:973(_get_with_context)
    45816    0.025    0.000    0.099    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\proplot\config.py:1471(_context_mode)
    45562    0.011    0.000    0.021    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\transforms.py:222(<lambda>)
    45141    0.015    0.000    0.017    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\text.py:1201(set_text)
    44868    0.031    0.000    0.055    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\font_manager.py:1304(<genexpr>)
    44010    0.009    0.000    0.009    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\path.py:199(vertices)
    43449    0.042    0.000    0.085    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\lines.py:1257(set_ydata)
    43297    0.008    0.000    0.008    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\font_manager.py:714(get_family)
    43297    0.006    0.000    0.006    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\font_manager.py:726(get_style)
    43297    0.006    0.000    0.006    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\font_manager.py:733(get_variant)
    43297    0.006    0.000    0.006    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\font_manager.py:739(get_weight)
    43297    0.006    0.000    0.006    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\font_manager.py:748(get_stretch)
    42557    0.042    0.000    0.056    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\enum.py:359(__call__)
    42557    0.015    0.000    0.015    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\enum.py:678(__new__)
    42472    0.059    0.000    0.216    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\numpy\core\fromnumeric.py:53(_wrapfunc)
    42309    0.052    0.000    0.250    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\transforms.py:170(invalidate)
    42223    0.128    0.000    0.243    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\transforms.py:780(__init__)
    41704    0.008    0.000    0.008    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\text.py:853(get_text)
    41490    0.012    0.000    0.046    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\figure.py:2365(_set_dpi)
    41474    0.031    0.000    0.031    0.000 C:\Programming\ethos_penalps\src\ethos_penalps\storage.py:390(convert_input_to_output_mass)
    41108    0.007    0.000    0.007    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\numpy\core\multiarray.py:741(dot)
    39795    0.011    0.000    0.014    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\pandas\core\dtypes\common.py:148(<lambda>)
    39795    0.013    0.000    0.013    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\pandas\core\dtypes\common.py:146(classes)
    39682    0.006    0.000    0.006    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\font_manager.py:762(get_size_in_points)
    39586    0.008    0.000    0.008    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\axes\_base.py:771(<genexpr>)
    38934    0.022    0.000    0.022    0.000 {method 'to_pydatetime' of 'pandas._libs.tslibs.timestamps._Timestamp' objects}
    38578    0.012    0.000    0.017    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\backends\backend_mixed.py:62(__getattr__)
    38558    0.004    0.000    0.004    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\typing.py:1737(cast)
    38420    0.097    0.000    0.109    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\transforms.py:207(set_children)
    38109    0.071    0.000    0.071    0.000 {method 'astype' of 'numpy.ndarray' objects}
    37418    0.028    0.000    0.138    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\text.py:1152(set_y)
    37292    0.021    0.000    0.037    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\cbook\__init__.py:1325(_to_unmasked_float_array)
    36161    0.013    0.000    0.016    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\cbook\__init__.py:1879(_str_equal)
    36084    0.035    0.000    0.071    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\lines.py:1245(set_xdata)
    35996    0.081    0.000    0.743    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\text.py:173(update)
    35260    0.011    0.000    0.011    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\logging\__init__.py:1724(isEnabledFor)
    35220    0.023    0.000    0.034    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\logging\__init__.py:1455(debug)
    35066    0.040    0.000    0.218    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\transforms.py:2468(composite_transform_factory)
    34725    0.004    0.000    0.004    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\transforms.py:1789(get_affine)
    34606    0.011    0.000    0.011    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\pandas\core\generic.py:550(_get_axis_number)
    34504    0.008    0.000    0.037    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\pyparsing\util.py:110(get)
 34504/57    0.170    0.000    0.737    0.013 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\pyparsing\core.py:962(_parseCache)
    34426    0.032    0.000    0.247    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\transforms.py:1315(__add__)
34098/34027    0.050    0.000    0.114    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\transforms.py:1829(transform_affine)
    34098    0.035    0.000    0.035    0.000 {built-in method matplotlib._path.affine_transform}
33789/19729    0.042    0.000    0.111    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\transforms.py:2340(_invalidate_internal)
    33200    0.060    0.000    0.197    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\text.py:820(get_unitless_position)
    33162    0.026    0.000    0.026    0.000 C:\Programming\ethos_penalps\src\ethos_penalps\utilities\general_functions.py:143(check_if_date_1_is_before_or_at_date_2)
    32946    0.010    0.000    0.021    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\transforms.py:2090(transform)
    32523    0.019    0.000    0.022    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\artist.py:390(get_transform)
    32488    0.027    0.000    0.139    0.000 C:\Users\Julian\mambaforge\envs\ethos_penalps\lib\site-packages\matplotlib\text.py:1141(set_x)
